-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
1.700984 -95.066622,58.101246 79.056638,-61.809036 91.531609,41.801262 -61.965541,18.139896 113.652164,-77.753772 -81.929944,81.100418 -11.617903,-22.004637 146.276004,-38.365038 -38.012490,58.101246 169.056638,-61.809036 -178.468391,1.700984 -5.066622,18.139896 -156.347836,-77.753772 8.070056,41.801262 28.034459,-22.004637 -123.723996,-38.365038 51.987510,81.100418 78.382097
3.523138 -95.077841,56.300571 79.317249,-63.596522 91.942465,43.612427 -61.880725,16.319061 113.651610,-76.023274 -79.860364,82.717409 -5.979279,-23.821104 146.284556,-36.555798 -37.958041,56.300571 169.317249,-63.596522 -178.057535,3.523138 -5.077841,16.319061 -156.348390,-76.023274 10.139636,43.612427 28.119275,-23.821104 -123.715444,-36.555798 52.041959,82.717409 84.020721
5.345312 -95.088609,54.498215 79.543195,-65.381135 92.425002,45.422557 -61.782925,14.497881 113.648771,-74.277004 -78.267506,84.221246 2.771454,-25.636809 146.296865,-34.745521 -37.911757,54.498215 169.543195,-65.381135 -177.574998,5.345312 -5.088609,14.497881 -156.351229,-74.277004 11.732494,45.422557 28.217075,-25.636809 -123.703135,-34.745521 52.088243,84.221246 92.771454
7.167451 -95.098692,52.694325 79.739542,-67.162375 92.995938,47.231594 -61.670415,12.676407 113.643946,-72.519540 -77.011094,85.497288 17.072175,-27.451713 146.313379,-32.934245 -37.872775,52.694325 169.739542,-67.162375 -177.004062,7.167451 -5.098692,12.676407 -156.356054,-72.519540 12.988906,47.231594 28.329585,-27.451713 -123.686621,-32.934245 52.127225,85.497288 107.072175
8.989504 -95.107853,50.889020 79.910430,-68.939567 93.677544,49.039474 -61.541172,10.854690 113.637419,-70.753800 -76.000287,86.301866 39.832476,-29.265775 146.334589,-31.122009 -37.840333,50.889020 169.910430,-68.939567 -176.322456,8.989504 -5.107853,10.854690 -156.362581,-70.753800 13.999713,49.039474 28.458828,-29.265775 -123.665411,-31.122009 52.159667,86.301866 129.832476
10.811418 -95.115843,49.082399 80.059282,-70.711778 94.500122,50.846125 -61.392806,9.032780 113.629460,-68.981722 -75.173905,86.312350 68.045803,-31.078954 146.361039,-29.308851 -37.813751,49.082399 170.059282,-70.711778 -175.499878,10.811418 -5.115843,9.032780 -156.370540,-68.981722 14.826095,50.846125 28.607194,-31.078954 -123.638961,-29.308851 52.186249,86.312350 158.045803
12.633141 -95.122407,47.274548 80.188951,-72.477687 95.505930,52.651462 -61.222478,7.210729 113.620324,-67.204637 -74.489340,85.523160 91.014805,-32.891212 146.393335,-27.494810 -37.792423,47.274548 170.188951,-72.477687 -174.494070,12.633141 -5.122407,7.210729 -156.379676,-67.204637 15.510660,52.651462 28.777522,-32.891212 -123.606665,-27.494810 52.207577,85.523160 -178.985195
14.454621 -95.127275,45.465538 80.301834,-74.235377 96.755602,54.455387 -61.026781,5.388591 113.610260,-65.423484 -73.916059,84.254848 105.486989,-34.702511 146.432153,-25.679926 -37.775804,45.465538 170.301834,-74.235377 -173.244398,14.454621 -5.127275,5.388591 -156.389740,-65.423484 16.083941,54.455387 28.973219,-34.702511 -123.567847,-25.679926 52.224196,84.254848 -164.513011
16.275809 -95.130165,43.655433 80.399962,-75.981958 98.339092,56.257781 -60.801592,3.566418 113.599505,-63.638945 -73.431635,82.754728 114.335986,-36.512813 146.478254,-23.864239 -37.763400,43.655433 170.399962,-75.981958 -171.660908,16.275809 -5.130165,3.566418 -156.400495,-63.638945 16.568365,56.257781 29.198408,-36.512813 -123.521746,-23.864239 52.236600,82.754728 -155.664014
18.096653 -95.130777,41.844291 80.485068,-77.712902 100.395165,58.058497 -60.541872,1.744263 113.588295,-61.851522 -73.019237,81.139673 120.029778,-38.322078 146.532497,-22.047790 -37.754764,41.844291 170.485068,-77.712902 -169.604835,18.096653 -5.130777,1.744263 -156.411705,-61.851522 16.980763,58.058497 29.458128,-38.322078 -123.467503,-22.047790 52.245236,81.139673 -149.970222
