-0.121097 -95.055183,71.724889 -84.124373,35.990539 82.347443,-36.185226 87.576043,-71.797342 -106.018114,23.972333 -63.453144,83.037005 84.129195,11.930439 114.194819,-60.019052 121.179640,-48.132352 -69.051465,47.972066 -31.066285,59.900058 138.755107,-12.167161 145.725464,-83.058381 175.882403,-24.192933 -36.658643,71.724889 5.875627,35.990539 172.347443,-36.185226 177.576043,-71.797342 -16.018114,-0.121097 -5.055183,83.037005 174.129195,11.930439 -155.805181,-60.019052 -148.820360,-48.132352 20.948535,23.972333 26.546856,59.900058 -131.244893,-12.167161 -124.274536,-83.058381 -94.117597,-24.192933 53.341357,47.972066 58.933715
1.700984 -95.066622,73.493439 -82.982167,34.175555 82.391758,-37.994682 87.628744,-70.028813 -105.088983,25.791195 -63.440254,81.437658 90.268314,10.108637 114.187673,-61.809036 121.531609,-46.329466 -68.931624,49.779452 -30.929523,58.101246 139.056638,-13.986972 145.720021,-84.519838 -174.460107,-22.376619 -36.649356,73.493439 7.017833,34.175555 172.391758,-37.994682 177.628744,-70.028813 -15.088983,1.700984 -5.066622,81.437658 -179.731686,10.108637 -155.812327,-61.809036 -148.468391,-46.329466 21.068376,25.791195 26.559746,58.101246 -130.943362,-13.986972 -124.279979,-84.519838 -84.460107,-22.376619 53.350644,49.779452 59.070477
3.523138 -95.077841,75.252239 -81.546304,32.359781 82.428970,-39.803069 87.690378,-68.254549 -104.325028,27.609467 -63.423088,79.769155 94.414497,8.286663 114.179202,-63.596522 121.942465,-44.525297 -68.827349,51.585575 -30.772536,56.300571 139.317249,-15.806266 145.716462,-85.716742 -158.627164,-20.559579 -36.643500,75.252239 8.453696,32.359781 172.428970,-39.803069 177.690378,-68.254549 -14.325028,3.523138 -5.077841,79.769155 -175.585503,8.286663 -155.820798,-63.596522 -148.057535,-44.525297 21.172651,27.609467 26.576912,56.300571 -130.682751,-15.806266 -124.283538,-85.716742 -68.627164,-20.559579 53.356500,51.585575 59.227464
5.345312 -95.088609,76.997507 -79.700287,30.543258 82.459820,-41.610347 87.762034,-66.475702 -103.689195,29.427106 -63.401145,78.060340 97.362171,6.464570 114.169657,-65.381135 122.425002,-42.719901 -68.736793,53.390348 -30.592268,54.498215 139.543195,-17.624998 145.715082,-86.376849 -134.202705,-18.741855 -36.640691,76.997507 10.299713,30.543258 172.459820,-41.610347 177.762034,-66.475702 -13.689195,5.345312 -5.088609,78.060340 -172.637829,6.464570 -155.830343,-65.381135 -147.574998,-42.719901 21.263207,29.427106 26.598855,54.498215 -130.456805,-17.624998 -124.284918,-86.376849 -44.202705,-18.741855 53.359309,53.390348 59.407732
7.167451 -95.098692,78.723140 -77.259338,28.726031 82.484968,-43.416473 87.844964,-64.693091 -103.154650,31.244066 -63.373872,76.326196 99.545542,4.642411 114.159281,-67.162375 122.995938,-40.913325 -68.658372,55.193661 -30.385040,52.694325 139.739542,-19.443119 145.716194,-86.208643 -106.339700,-16.923494 -36.640579,78.723140 12.740662,28.726031 172.484968,-43.416473 177.844964,-64.693091 -13.154650,7.167451 -5.098692,76.326196 -170.454458,4.642411 -155.840719,-67.162375 -147.004062,-40.913325 21.341628,31.244066 26.626128,52.694325 -130.260458,-19.443119 -124.283806,-86.208643 -16.339700,-16.923494 53.359421,55.193661 59.614960
8.989504 -95.107853,80.418710 -73.915153,26.908143 82.505005,-45.221402 87.940611,-62.907318 -102.701501,33.060305 -63.340650,74.575143 101.216036,2.820239 114.148312,-68.939567 123.677544,-39.105614 -68.590720,56.995387 -30.146380,50.889020 139.910430,-21.260584 145.720136,-85.300221 -85.244610,-15.104539 -36.642835,80.418710 16.084847,26.908143 172.505005,-45.221402 177.940611,-62.907318 -12.701501,8.989504 -5.107853,74.575143 -168.783964,2.820239 -155.851688,-68.939567 -146.322456,-39.105614 21.409280,33.060305 26.659350,50.889020 -130.089570,-21.260584 -124.279864,-85.300221 4.755390,-15.104539 53.357165,56.995387 59.853620
10.811418 -95.115843,82.065117 -69.123212,25.089638 82.520465,-47.025082 88.050655,-61.118830 -102.314701,34.875780 -63.300791,72.812221 102.527448,0.998106 114.136981,-70.711778 124.500122,-37.296810 -68.532653,58.795368 -29.870802,49.082399 140.059282,-23.077349 145.727268,-83.977654 -72.182820,-13.285040 -36.647155,82.065117 20.876788,25.089638 172.520465,-47.025082 178.050655,-61.118830 -12.314701,10.811418 -5.115843,72.812221 -167.472552,0.998106 -155.863019,-70.711778 -145.499878,-37.296810 21.467347,34.875780 26.699209,49.082399 -129.940718,-23.077349 -124.272732,-83.977654 17.817180,-13.285040 53.352845,58.795368 60.129198
12.633141 -95.122407,83.624361 -61.867286,23.270560 82.531828,-48.827459 88.177062,-59.327963 -101.982660,36.690446 -63.253517,71.040618 103.578458,-0.823933 114.125517,-72.477687 125.505930,-35.486953 -68.483136,60.593404 -29.551496,47.274548 140.188951,-24.893371 145.737987,-82.455595 -64.122825,-11.465043 -36.653250,83.624361 28.132714,23.270560 172.531828,-48.827459 178.177062,-59.327963 -11.982660,12.633141 -5.122407,71.040618 -166.421542,-0.823933 -155.874483,-72.477687 -144.494070,-35.486953 21.516864,36.690446 26.746483,47.274548 -129.811049,-24.893371 -124.262013,-82.455595 25.877175,-11.465043 53.346750,60.593404 60.448504
14.454621 -95.127275,85.014183 -50.218526,21.450956 82.539533,-50.628466 88.322147,-57.534979 -101.696314,38.504261 -63.197950,69.262432 104.435007,-2.645826 114.114150,-74.235377 126.755602,-33.676082 -68.441262,62.389245 -29.179907,45.465538 140.301834,-26.708608 145.752722,-80.832760 -58.867742,-9.644598 -36.660848,85.014183 39.781474,21.450956 172.539533,-50.628466 178.322147,-57.534979 -11.696314,14.454621 -5.127275,69.262432 -165.564993,-2.645826 -155.885850,-74.235377 -143.244398,-33.676082 21.558738,38.504261 26.802050,45.465538 -129.698166,-26.708608 -124.247278,-80.832760 31.132258,-9.644598 53.339152,62.389245 60.820093
16.275809 -95.130165,86.051613 -31.131970,19.630872 82.543979,-52.428029 88.488661,-55.740080 -101.448468,40.317180 -63.133090,67.479099 105.142718,-4.467521 114.103106,-75.981958 128.339092,-31.864234 -68.406228,64.182567 -28.745133,43.655433 140.399962,-28.523020 145.771947,-79.154164 -55.241282,-7.823755 -36.669691,86.051613 58.868030,19.630872 172.543979,-52.428029 178.488661,-55.740080 -11.448468,16.275809 -5.130165,67.479099 -164.857282,-4.467521 -155.896894,-75.981958 -141.660908,-31.864234 21.593772,40.317180 26.866910,43.655433 -129.600038,-28.523020 -124.228053,-79.154164 34.758718,-7.823755 53.330309,64.182567 61.254867
18.096653 -95.130777,86.416414 -4.029163,17.810355 82.545537,-54.226057 88.679897,-53.943428 -101.233343,42.129155 -63.057793,65.691630 105.734097,-6.288963 114.092618,-77.712902 130.395165,-30.051449 -68.377323,65.972946 -28.233071,41.844291 140.485068,-30.336565 145.796182,-77.442008 -52.618090,-6.002565 -36.679528,86.416414 85.970837,17.810355 172.545537,-54.226057 178.679897,-53.943428 -11.233343,18.096653 -5.130777,65.691630 -164.265903,-6.288963 -155.907382,-77.712902 -139.604835,-30.051449 21.622677,42.129155 26.942207,41.844291 -129.514932,-30.336565 -124.203818,-77.442008 37.381910,-6.002565 53.320472,65.972946 61.766929
