-0.121097 -95.055183,51.386580 -90.553768,76.710130 69.589502,25.690978 83.227286,-25.908450 86.694311,-76.761321 100.378599,-51.535698 -99.565600,17.093286 -63.944979,68.364138 -55.970434,59.900058 108.755107,8.487477 114.417345,-43.018454 118.299949,-84.444447 -105.090735,-34.474538 -67.510225,34.275595 -32.603294,84.430819 4.876455,42.842482 141.625446,-8.726873 145.502771,-60.019052 151.179640,-68.450340 -44.165222,-17.324364 -36.166085,51.386580 -0.553768,76.710130 159.589502,25.690978 173.227286,-25.908450 176.694311,-76.761321 -169.621401,-51.535698 -9.565600,-0.121097 -5.055183,68.364138 34.029566,59.900058 -161.244893,8.487477 -155.582655,-43.018454 -151.700051,-84.444447 -15.090735,-34.474538 22.489775,17.093286 26.055021,84.430819 94.876455,42.842482 -128.374554,-8.726873 -124.497229,-60.019052 -118.820360,-68.450340 45.834778,-17.324364 53.833915,34.275595 57.396706
1.700984 -95.066622,53.191506 -90.376234,74.962284 71.357279,23.872084 83.239953,-27.723230 86.711495,-78.483069 102.712579,-49.735408 -99.410089,18.913960 -63.944465,70.145067 -55.193658,58.101246 109.056638,6.665394 114.407906,-44.823650 118.392658,-82.973297 -95.684187,-32.663116 -67.472268,36.090533 -32.558563,85.655793 20.289529,41.030892 141.705204,-10.547525 145.494514,-61.809036 151.531609,-66.671953 -43.516736,-15.505536 -36.167846,53.191506 -0.376234,74.962284 161.357279,23.872084 173.239953,-27.723230 176.711495,-78.483069 -167.287421,-49.735408 -9.410089,1.700984 -5.066622,70.145067 34.806342,58.101246 -160.943362,6.665394 -155.592094,-44.823650 -151.607342,-82.973297 -5.684187,-32.663116 22.527732,18.913960 26.055535,85.655793 110.289529,41.030892 -128.294796,-10.547525 -124.505486,-61.809036 -118.468391,-66.671953 46.483264,-15.505536 53.832154,36.090533 57.441437
3.523138 -95.077841,54.994986 -90.172179,73.201655 72.737882,22.052649 83.248821,-29.537162 86.733453,-80.176791 105.888728,-47.933714 -99.274582,20.734220 -63.941198,71.920202 -54.247418,56.300571 109.317249,4.843240 114.397610,-46.627611 118.499371,-81.377067 -89.670889,-30.850740 -67.440744,37.904635 -32.505843,86.359982 44.336290,39.218340 141.774029,-12.367753 145.487628,-63.596522 151.942465,-64.889724 -42.972108,-13.686153 -36.171736,54.994986 -0.172179,73.201655 162.737882,22.052649 173.248821,-29.537162 176.733453,-80.176791 -164.111272,-47.933714 -9.274582,3.523138 -5.077841,71.920202 35.752582,56.300571 -160.682751,4.843240 -155.602390,-46.627611 -151.500629,-81.377067 0.329111,-30.850740 22.559256,20.734220 26.058802,86.359982 134.336290,39.218340 -128.225971,-12.367753 -124.512372,-63.596522 -118.057535,-64.889724 47.027892,-13.686153 53.828264,37.904635 57.494157
5.345312 -95.088609,56.796894 -89.937232,71.431755 73.839723,20.232719 83.254303,-31.350206 86.760738,-81.825277 110.401072,-46.130683 -99.156556,22.554019 -63.934823,73.687817 -53.077165,54.498215 109.543195,3.021067 114.386695,-48.430280 118.621985,-79.713696 -85.594639,-29.037447 -67.414985,39.717855 -32.444174,86.238608 72.427761,37.404872 141.833129,-14.187510 145.482379,-65.381135 152.425002,-63.104276 -42.510800,-11.866262 -36.177463,56.796894 0.062768,71.431755 163.839723,20.232719 173.254303,-31.350206 176.760738,-81.825277 -159.598928,-46.130683 -9.156556,5.345312 -5.088609,73.687817 36.922835,54.498215 -160.456805,3.021067 -155.613305,-48.430280 -151.378015,-79.713696 4.405361,-29.037447 22.585015,22.554019 26.065177,86.238608 162.427761,37.404872 -128.166871,-14.187510 -124.517621,-65.381135 -117.574998,-63.104276 47.489200,-11.866262 53.822537,39.717855 57.555826
7.167451 -95.098692,58.597076 -89.666030,69.654878 74.734645,18.412340 83.256777,-33.162323 86.793965,-83.394803 117.162751,-44.326377 -99.053879,24.373309 -63.924951,75.445342 -51.602740,52.694325 109.739542,1.198927 114.375392,-50.231595 118.762733,-78.010963 -82.688282,-27.223277 -67.394396,41.530147 -32.372465,85.355947 94.064314,35.590536 141.883558,-16.006745 145.479045,-67.162375 152.995938,-61.316068 -42.117308,-10.045911 -36.184753,58.597076 0.333970,69.654878 164.734645,18.412340 173.256777,-33.162323 176.793965,-83.394803 -152.837249,-44.326377 -9.053879,7.167451 -5.098692,75.445342 38.397260,52.694325 -160.260458,1.198927 -155.624608,-50.231595 -151.237267,-78.010963 7.311718,-27.223277 22.605604,24.373309 26.075049,85.355947 -175.935686,35.590536 -128.116442,-16.006745 -124.520955,-67.162375 -117.004062,-61.316068 47.882692,-10.045911 53.815247,41.530147 57.627535
8.989504 -95.107853,60.395338 -89.351927,67.872581 75.471994,16.591560 83.256592,-34.973475 86.833822,-84.813421 127.908492,-42.520848 -98.964733,26.192045 -63.911159,77.188801 -49.701846,50.889020 109.910430,-0.623125 114.363932,-52.031483 118.924262,-76.283377 -80.530675,-25.408270 -67.378437,43.341463 -32.289459,84.041152 107.488728,33.775374 141.926239,-17.825411 145.477924,-68.939567 153.677544,-59.525449 -41.779717,-8.225152 -36.193343,60.395338 0.648073,67.872581 165.471994,16.591560 173.256592,-34.973475 176.833822,-84.813421 -142.091508,-42.520848 -8.964733,8.989504 -5.107853,77.188801 40.298154,50.889020 -160.089570,-0.623125 -155.636068,-52.031483 -151.075738,-76.283377 9.469325,-25.408270 22.621563,26.192045 26.088841,84.041152 -162.511272,33.775374 -128.073761,-17.825411 -124.522076,-68.939567 -116.322456,-59.525449 48.220283,-8.225152 53.806657,43.341463 57.710541
10.811418 -95.115843,62.191435 -88.986586,66.085953 76.086720,14.770429 83.254075,-36.783624 86.881084,-85.920751 145.538348,-40.714145 -98.887563,28.010182 -63.892985,78.911739 -47.179490,49.082399 110.059282,-2.445037 114.352543,-53.829858 119.109733,-74.539122 -78.876979,-23.592467 -67.366625,45.151751 -32.193705,82.518606 115.741015,31.959431 141.961988,-19.643462 145.479332,-70.711778 154.500122,-57.732688 -41.488717,-6.404034 -36.202982,62.191435 1.013414,66.085953 166.086720,14.770429 173.254075,-36.783624 176.881084,-85.920751 -124.461652,-40.714145 -8.887563,10.811418 -5.115843,78.911739 42.820510,49.082399 -159.940718,-2.445037 -155.647457,-53.829858 -150.890267,-74.539122 11.123021,-23.592467 22.633375,28.010182 26.107015,82.518606 -154.258985,31.959431 -128.038012,-19.643462 -124.520668,-70.711778 -115.499878,-57.732688 48.511283,-6.404034 53.797018,45.151751 57.806295
12.633141 -95.122407,63.985053 -88.559400,64.295777 76.604233,12.948995 83.249529,-38.592731 86.936627,-86.415790 171.577942,-38.906312 -98.821022,29.827674 -63.869916,80.603051 -43.708362,47.274548 110.188951,-4.266756 114.341452,-55.626616 119.322959,-72.783117 -77.576924,-21.775908 -67.358516,46.960956 -32.083517,80.891807 121.099008,30.142750 141.991527,-21.460852 145.483606,-72.477687 155.505930,-55.937992 -41.236933,-4.582609 -36.213427,63.985053 1.440600,64.295777 166.604233,12.948995 173.249529,-38.592731 176.936627,-86.415790 -98.422058,-38.906312 -8.821022,12.633141 -5.122407,80.603051 46.291638,47.274548 -159.811049,-4.266756 -155.658548,-55.626616 -150.677041,-72.783117 12.423076,-21.775908 22.641484,29.827674 26.130084,80.891807 -148.900992,30.142750 -128.008473,-21.460852 -124.516394,-72.477687 -114.494070,-55.937992 48.763067,-4.582609 53.786573,46.960956 57.916483
14.454621 -95.127275,65.775782 -88.056672,62.502627 77.043434,11.127311 83.243240,-40.400756 87.001447,-86.060577 -161.380694,-37.097390 -98.763946,31.644480 -63.841387,82.242218 -38.706638,45.465538 110.301834,-6.088229 114.330891,-57.421630 119.568580,-71.018474 -76.533825,-19.958637 -67.353708,48.769013 -31.956919,79.207686 124.783850,28.325373 142.015500,-23.277537 145.491114,-74.235377 156.755602,-54.141526 -41.018449,-2.760929 -36.224443,65.775782 1.943328,62.502627 167.043434,11.127311 173.243240,-40.400756 177.001447,-86.060577 -71.380694,-37.097390 -8.763946,14.454621 -5.127275,82.242218 51.293362,45.465538 -159.698166,-6.088229 -155.669109,-57.421630 -150.431420,-71.018474 13.466175,-19.958637 22.646292,31.644480 26.158613,79.207686 -145.216150,28.325373 -127.984500,-23.277537 -124.508886,-74.235377 -113.244398,-54.141526 48.981551,-2.760929 53.775557,48.769013 58.043081
16.275809 -95.130165,67.563074 -87.460410,60.706935 77.418664,9.305426 83.235478,-42.207658 87.076684,-85.034313 -142.251643,-35.287419 -98.715314,33.460554 -63.806764,83.788026 -31.083068,43.655433 110.399962,-7.909403 114.321095,-59.214741 119.852297,-69.247248 -75.682919,-18.140697 -67.351829,50.575853 -31.811584,77.489255 127.442190,26.507345 142.034485,-25.093475 145.502254,-75.981958 158.339092,-52.343423 -40.828459,-0.939047 -36.235797,67.563074 2.539590,60.706935 167.418664,9.305426 173.235478,-42.207658 177.076684,-85.034313 -52.251643,-35.287419 -8.715314,16.275809 -5.130165,83.788026 58.916932,43.655433 -159.600038,-7.909403 -155.678905,-59.214741 -150.147703,-69.247248 14.317081,-18.140697 22.648171,33.460554 26.193236,77.489255 -142.557810,26.507345 -127.965515,-25.093475 -124.497746,-75.981958 -111.660908,-52.343423 49.171541,-0.939047 53.764203,50.575853 58.188416
18.096653 -95.130777,69.346190 -86.746510,58.909029 77.740999,7.483394 83.226503,-44.013393 87.163648,-83.654569 -130.547887,-33.476438 -98.674231,35.275854 -63.765341,85.150559 -18.776398,41.844291 110.485068,-9.730229 114.312306,-61.005748 120.181205,-67.470844 -74.979315,-16.322134 -67.352535,52.381393 -31.644744,75.748798 129.434152,24.688710 142.049002,-26.908623 145.517460,-77.712902 160.395165,-50.543791 -40.663022,0.882985 -36.247261,69.346190 3.253490,58.909029 167.740999,7.483394 173.226503,-44.013393 177.163648,-83.654569 -40.547887,-33.476438 -8.674231,18.096653 -5.130777,85.150559 71.223602,41.844291 -159.514932,-9.730229 -155.687694,-61.005748 -149.818795,-67.470844 15.020685,-16.322134 22.647465,35.275854 26.234659,75.748798 -140.565848,24.688710 -127.950998,-26.908623 -124.482540,-77.712902 -109.604835,-50.543791 49.336978,0.882985 53.752739,52.381393 58.355256
