-0.121097 -95.055183,39.989112 -92.038857,79.421930 -75.469562,59.900058 78.755107,19.960339 83.650109,-20.187454 86.270801,-60.019052 91.179640,-79.460942 -114.703090,-40.173201 -98.076082,13.269173 -64.202055,53.281501 -60.234965,85.118616 67.836185,46.643028 111.152421,6.574505 114.539162,-33.523770 117.328369,-73.092472 126.832990,-66.583138 -73.355553,-26.861205 -66.863853,26.645556 -33.248300,66.489447 -26.777126,73.025457 133.122415,33.322540 142.594531,-6.815005 145.380887,-46.807508 148.774357,-85.128009 -167.810957,-53.424185 -39.885445,-13.504619 -35.908727,39.989112 -2.038857,79.421930 14.530438,59.900058 168.755107,19.960339 173.650109,-20.187454 176.270801,-60.019052 -178.820360,-79.460942 -24.703090,-40.173201 -8.076082,-0.121097 -5.055183,53.281501 29.765035,85.118616 157.836185,46.643028 -158.847579,6.574505 -155.460838,-33.523770 -152.671631,-73.092472 -143.167010,-66.583138 16.644447,-26.861205 23.136147,13.269173 25.797945,66.489447 63.222874,73.025457 -136.877585,33.322540 -127.405469,-6.815005 -124.619113,-46.807508 -121.225643,-85.128009 -77.810957,-53.424185 50.114555,-13.504619 54.091273,26.645556 56.751700
1.700984 -95.066622,41.801262 -91.965541,81.100418 -71.617903,58.101246 79.056638,18.139896 83.652164,-22.004637 86.276004,-61.809036 91.531609,-77.753772 -111.929944,-38.365038 -98.012490,15.090557 -64.206266,55.084906 -60.029481,83.749410 79.983245,44.833629 111.259938,4.752348 114.528829,-35.334726 117.369639,-74.846676 128.187035,-64.800736 -72.815518,-25.046035 -66.848759,28.463536 -33.228955,68.275175 -26.137233,71.254773 134.200841,31.506408 142.628666,-8.636046 145.371463,-48.610045 148.898674,-86.115564 -148.008331,-51.625460 -39.705684,-11.684679 -35.914622,41.801262 -1.965541,81.100418 18.382097,58.101246 169.056638,18.139896 173.652164,-22.004637 176.276004,-61.809036 -178.468391,-77.753772 -21.929944,-38.365038 -8.012490,1.700984 -5.066622,55.084906 29.970519,83.749410 169.983245,44.833629 -158.740062,4.752348 -155.471171,-35.334726 -152.630361,-74.846676 -141.812965,-64.800736 17.184482,-25.046035 23.151241,15.090557 25.793734,68.275175 63.862767,71.254773 -135.799159,31.506408 -127.371334,-8.636046 -124.628537,-48.610045 -121.101326,-86.115564 -58.008331,-51.625460 50.294316,-11.684679 54.085378,28.463536 56.771045
3.523138 -95.077841,43.612427 -91.880725,82.717409 -65.979279,56.300571 79.317249,16.319061 83.651610,-23.821104 86.284556,-63.596522 91.942465,-76.023274 -109.860364,-36.555798 -97.958041,16.911630 -64.208395,56.886732 -59.792861,82.200327 87.517499,43.023156 111.353336,2.930175 114.517889,-37.144669 117.418480,-76.588425 129.916418,-63.015140 -72.357925,-23.230078 -66.837720,30.280862 -33.204579,70.056358 -25.367799,69.477295 135.078114,29.689549 142.656759,-10.456718 145.363144,-50.411221 149.041369,-86.407250 -120.621657,-49.825243 -39.549100,-9.864286 -35.922054,43.612427 -1.880725,82.717409 24.020721,56.300571 169.317249,16.319061 173.651610,-23.821104 176.284556,-63.596522 -178.057535,-76.023274 -19.860364,-36.555798 -7.958041,3.523138 -5.077841,56.886732 30.207139,82.200327 177.517499,43.023156 -158.646664,2.930175 -155.482111,-37.144669 -152.581520,-76.588425 -140.083582,-63.015140 17.642075,-23.230078 23.162280,16.911630 25.791605,70.056358 64.632201,69.477295 -134.921886,29.689549 -127.343241,-10.456718 -124.636856,-50.411221 -120.958631,-86.407250 -30.621657,-49.825243 50.450900,-9.864286 54.077946,30.280862 56.795421
5.345312 -95.088609,45.422557 -91.782925,84.221246 -57.228546,54.498215 79.543195,14.497881 83.648771,-25.636809 86.296865,-65.381135 92.425002,-74.277004 -108.267506,-34.745521 -97.911757,18.732343 -64.208136,58.686823 -59.519688,80.559401 92.468367,41.211665 111.434257,1.108039 114.506574,-38.953563 117.475790,-78.312362 132.184279,-61.226805 -71.967479,-21.413373 -66.830301,32.097489 -33.174592,71.831817 -24.431141,67.694523 135.801849,27.872006 142.679437,-12.276969 145.356184,-52.210962 149.205135,-85.853547 -95.102079,-48.023616 -39.412659,-8.043488 -35.930759,45.422557 -1.782925,84.221246 32.771454,54.498215 169.543195,14.497881 173.648771,-25.636809 176.296865,-65.381135 -177.574998,-74.277004 -18.267506,-34.745521 -7.911757,5.345312 -5.088609,58.686823 30.480312,80.559401 -177.531633,41.211665 -158.565743,1.108039 -155.493426,-38.953563 -152.524210,-78.312362 -137.815721,-61.226805 18.032521,-21.413373 23.169699,18.732343 25.791864,71.831817 65.568859,67.694523 -134.198151,27.872006 -127.320563,-12.276969 -124.643816,-52.210962 -120.794865,-85.853547 -5.102079,-48.023616 50.587341,-8.043488 54.069241,32.097489 56.825408
7.167451 -95.098692,47.231594 -91.670415,85.497288 -42.927825,52.694325 79.739542,12.676407 83.643946,-27.451713 86.313379,-67.162375 92.995938,-72.519540 -107.011094,-32.934245 -97.872775,20.552647 -64.205160,60.484982 -59.203244,78.867059 95.908798,39.399206 111.504116,-0.714008 114.495112,-40.761368 117.542592,-80.009482 135.258845,-59.436073 -71.632414,-19.595965 -66.826106,33.913374 -33.138343,73.599859 -23.273698,65.907510 136.405862,26.053822 142.697260,-14.096750 145.350846,-54.009181 149.393192,-84.713700 -78.107443,-46.220651 -39.293815,-6.222337 -35.940490,47.231594 -1.670415,85.497288 47.072175,52.694325 169.739542,12.676407 173.643946,-27.451713 176.313379,-67.162375 -177.004062,-72.519540 -17.011094,-32.934245 -7.872775,7.167451 -5.098692,60.484982 30.796756,78.867059 -174.091202,39.399206 -158.495884,-0.714008 -155.504888,-40.761368 -152.457408,-80.009482 -134.741155,-59.436073 18.367586,-19.595965 23.173894,20.552647 25.794840,73.599859 66.726302,65.907510 -133.594138,26.053822 -127.302740,-14.096750 -124.649154,-54.009181 -120.606808,-84.713700 11.892557,-46.220651 50.706185,-6.222337 54.059510,33.913374 56.861657
8.989504 -95.107853,49.039474 -91.541172,86.301866 -20.167524,50.889020 79.910430,10.854690 83.637419,-29.265775 86.334589,-68.939567 93.677544,-70.753800 -106.000287,-31.122009 -97.840333,22.372494 -64.199111,62.280964 -58.835091,77.143471 98.411514,37.585828 111.564136,-2.535911 114.483732,-42.568041 117.620058,-81.663615 139.606162,-57.643211 -71.343531,-17.777898 -66.824769,35.728474 -33.095103,75.357967 -21.816902,64.117013 136.914801,24.235043 142.710738,-15.916012 145.347410,-55.805772 149.609426,-83.279533 -67.752747,-44.416407 -39.190417,-4.400885 -35.951002,49.039474 -1.541172,86.301866 69.832476,50.889020 169.910430,10.854690 173.637419,-29.265775 176.334589,-68.939567 -176.322456,-70.753800 -16.000287,-31.122009 -7.840333,8.989504 -5.107853,62.280964 31.164909,77.143471 -171.588486,37.585828 -158.435864,-2.535911 -155.516268,-42.568041 -152.379942,-81.663615 -130.393838,-57.643211 18.656469,-17.777898 23.175231,22.372494 25.800889,75.357967 68.183098,64.117013 -133.085199,24.235043 -127.289262,-15.916012 -124.652590,-55.805772 -120.390574,-83.279533 22.247253,-44.416407 50.809583,-4.400885 54.048998,35.728474 56.904897
10.811418 -95.115843,50.846125 -91.392806,86.312350 8.045803,49.082399 80.059282,9.032780 83.629460,-31.078954 86.361039,-70.711778 94.500122,-68.981722 -105.173905,-29.308851 -97.813751,24.191837 -64.189607,64.074449 -58.404491,75.399576 100.299193,35.771576 111.615387,-4.357619 114.472662,-44.373538 117.709536,-83.243350 146.083248,-55.848423 -71.093539,-15.959216 -66.825952,37.542746 -33.044049,77.102254 -19.941124,62.323593 137.347038,22.415712 142.720330,-17.734708 145.346172,-57.600603 149.858571,-81.702170 -61.209369,-42.610938 -39.100636,-2.579182 -35.962062,50.846125 -1.392806,86.312350 98.045803,49.082399 170.059282,9.032780 173.629460,-31.078954 176.361039,-70.711778 -175.499878,-68.981722 -15.173905,-29.308851 -7.813751,10.811418 -5.115843,64.074449 31.595509,75.399576 -169.700807,35.771576 -158.384613,-4.357619 -155.527338,-44.373538 -152.290464,-83.243350 -123.916752,-55.848423 18.906461,-15.959216 23.174048,24.191837 25.810393,77.102254 70.058876,62.323593 -132.652962,22.415712 -127.279670,-17.734708 -124.653828,-57.600603 -120.141429,-81.702170 28.790631,-42.610938 50.899364,-2.579182 54.037938,37.542746 56.955951
12.633141 -95.122407,52.651462 -91.222478,85.523160 31.014805,47.274548 80.188951,7.210729 83.620324,-32.891212 86.393335,-72.477687 95.505930,-67.204637 -104.489340,-27.494810 -97.792423,26.010630 -64.176226,65.865020 -57.897567,73.641745 101.764347,33.956495 111.658803,-6.179078 114.462134,-46.177812 117.812590,-84.682202 156.319224,-54.051873 -70.876581,-14.139967 -66.829339,39.356146 -32.984248,78.826427 -17.456076,60.527666 137.716539,20.595877 142.726456,-19.552791 145.347445,-59.393514 150.146452,-80.049354 -56.823527,-40.804292 -39.022901,-0.757283 -35.973437,52.651462 -1.222478,85.523160 121.014805,47.274548 170.188951,7.210729 173.620324,-32.891212 176.393335,-72.477687 -174.494070,-67.204637 -14.489340,-27.494810 -7.792423,12.633141 -5.122407,65.865020 32.102433,73.641745 -168.235653,33.956495 -158.341197,-6.179078 -155.537866,-46.177812 -152.187410,-84.682202 -113.680776,-54.051873 19.123419,-14.139967 23.170661,26.010630 25.823774,78.826427 72.543924,60.527666 -132.283461,20.595877 -127.273544,-19.552791 -124.652555,-59.393514 -119.853548,-80.049354 33.176473,-40.804292 50.977099,-0.757283 54.026563,39.356146 57.015752
14.454621 -95.127275,54.455387 -91.026781,84.254848 45.486989,45.465538 80.301834,5.388591 83.610260,-34.702511 86.432153,-74.235377 96.755602,-65.423484 -103.916059,-25.679926 -97.775804,27.828829 -64.158511,67.652124 -57.296068,71.873905 102.927865,32.140628 111.695209,-8.000237 114.452382,-47.980808 117.931044,-85.831850 173.118581,-52.253691 -70.687903,-12.320197 -66.834634,41.168627 -32.914637,80.519695 -14.043219,58.729555 138.034107,18.775583 142.729501,-21.370215 145.351568,-61.184298 150.480323,-78.353029 -53.725193,-38.996515 -38.955859,1.064761 -35.984900,54.455387 -1.026781,84.254848 135.486989,45.465538 170.301834,5.388591 173.610260,-34.702511 176.432153,-74.235377 -173.244398,-65.423484 -13.916059,-25.679926 -7.775804,14.454621 -5.127275,67.652124 32.703932,71.873905 -167.072135,32.140628 -158.304791,-8.000237 -155.547618,-47.980808 -152.068956,-85.831850 -96.881419,-52.253691 19.312097,-12.320197 23.165366,27.828829 25.841489,80.519695 75.956781,58.729555 -131.965893,18.775583 -127.270499,-21.370215 -124.648432,-61.184298 -119.519677,-78.353029 36.274807,-38.996515 51.044141,1.064761 54.015100,41.168627 57.085363
16.275809 -95.130165,56.257781 -90.801592,82.754728 54.335986,43.655433 80.399962,3.566418 83.599505,-36.512813 86.478254,-75.981958 98.339092,-63.638945 -103.431635,-23.864239 -97.763400,29.646387 -64.135956,69.435008 -56.575525,70.098600 103.869069,30.324018 111.725338,-9.821043 114.443649,-49.782467 118.067040,-86.403521 -161.532979,-50.453985 -70.523600,-10.499957 -66.841559,42.980142 -32.833994,82.162196 -9.137967,56.929508 138.308223,16.954880 142.729821,-23.186936 145.358906,-62.972695 150.869328,-76.629605 -51.441830,-37.187646 -38.898336,2.886896 -35.996221,56.257781 -0.801592,82.754728 144.335986,43.655433 170.399962,3.566418 173.599505,-36.512813 176.478254,-75.981958 -171.660908,-63.638945 -13.431635,-23.864239 -7.763400,16.275809 -5.130165,69.435008 33.424475,70.098600 -166.130931,30.324018 -158.274662,-9.821043 -155.556351,-49.782467 -151.932960,-86.403521 -71.532979,-50.453985 19.476400,-10.499957 23.158441,29.646387 25.864044,82.162196 80.862033,56.929508 -131.691777,16.954880 -127.270179,-23.186936 -124.641094,-62.972695 -119.130672,-76.629605 38.558170,-37.187646 51.101664,2.886896 54.003779,42.980142 57.166006
18.096653 -95.130777,58.058497 -90.541872,81.139673 60.029778,41.844291 80.485068,1.744263 83.588295,-38.322078 86.532497,-77.712902 100.395165,-61.851522 -103.019237,-22.047790 -97.754764,31.463263 -64.107998,71.212627 -55.702385,68.317538 104.641987,28.506709 111.749839,-11.641447 114.436185,-51.582719 118.223112,-86.131916 -134.051344,-48.652842 -70.380438,-8.679295 -66.849849,44.790639 -32.740910,83.714206 -1.683724,55.127721 138.545644,15.133814 142.727744,-25.002913 145.369855,-64.758360 151.325165,-74.888206 -49.701851,-35.377726 -38.849305,4.709069 -36.007173,58.058497 -0.541872,81.139673 150.029778,41.844291 170.485068,1.744263 173.588295,-38.322078 176.532497,-77.712902 -169.604835,-61.851522 -13.019237,-22.047790 -7.754764,18.096653 -5.130777,71.212627 34.297615,68.317538 -165.358013,28.506709 -158.250161,-11.641447 -155.563815,-51.582719 -151.776888,-86.131916 -44.051344,-48.652842 19.619562,-8.679295 23.150151,31.463263 25.892002,83.714206 88.316276,55.127721 -131.454356,15.133814 -127.272256,-25.002913 -124.630145,-64.758360 -118.674835,-74.888206 40.298149,-35.377726 51.150695,4.709069 53.992827,44.790639 57.259090
