-0.121097 -95.055183,32.715939 -92.743778,65.294285 -87.230123,81.103988 61.387015,49.058986 80.815655,16.311197 83.903128,-16.543254 86.017453,-49.215778 89.112159,-81.135079 108.607189,-65.392685 -102.900892,-32.918597 -97.369418,10.835021 -64.361363,43.620247 -61.628807,75.961299 -50.554392,70.657835 104.683202,38.172112 112.132634,5.357115 114.616179,-27.467385 116.816591,-60.019052 121.179640,-85.513545 -117.944052,-54.625044 -70.104081,-22.008560 -66.496991,21.784269 -33.614534,54.486535 -30.017055,85.506726 17.732615,59.900058 138.755107,27.252928 143.105233,-5.598175 145.303836,-38.361132 147.791390,-70.734699 155.266449,-76.015762 -49.601060,-43.793928 -38.487269,-11.072689 -35.749279,32.715939 -2.743778,65.294285 2.769877,81.103988 151.387015,49.058986 170.815655,16.311197 173.903128,-16.543254 176.017453,-49.215778 179.112159,-81.135079 -161.392811,-65.392685 -12.900892,-32.918597 -7.369418,-0.121097 -5.055183,43.620247 28.371193,75.961299 39.445608,70.657835 -165.316798,38.172112 -157.867366,5.357115 -155.383821,-27.467385 -153.183409,-60.019052 -148.820360,-85.513545 -27.944052,-54.625044 19.895919,-22.008560 23.503009,10.835021 25.638637,54.486535 59.982945,85.506726 107.732615,59.900058 -131.244893,27.252928 -126.894767,-5.598175 -124.696164,-38.361132 -122.208610,-70.734699 -114.733551,-76.015762 40.398940,-43.793928 51.512731,-11.072689 54.250721,21.784269 56.385466
1.700984 -95.066622,34.531562 -92.705234,67.082566 -86.661103,79.425599 65.241626,47.251118 80.945091,14.490016 83.900279,-18.361744 86.017044,-51.016480 89.261614,-82.743833 114.265137,-63.608092 -102.417842,-31.106353 -97.337029,12.656741 -64.367906,45.430372 -61.530947,77.699529 -48.494894,68.878436 105.504347,36.358138 112.186611,3.534942 114.605415,-29.281439 116.837844,-61.809036 121.531609,-84.248261 -103.582695,-52.827370 -69.906844,-20.191378 -66.491781,23.603780 -33.606190,56.288901 -29.791315,86.305733 40.568965,58.101246 139.056638,25.434537 143.121522,-7.419435 145.293810,-40.169298 147.854962,-72.500517 156.274979,-74.269436 -48.009912,-41.988048 -38.401807,-9.252154 -35.757168,34.531562 -2.705234,67.082566 3.338897,79.425599 155.241626,47.251118 170.945091,14.490016 173.900279,-18.361744 176.017044,-51.016480 179.261614,-82.743833 -155.734863,-63.608092 -12.417842,-31.106353 -7.337029,1.700984 -5.066622,45.430372 28.469053,77.699529 41.505106,68.878436 -164.495653,36.358138 -157.813389,3.534942 -155.394585,-29.281439 -153.162156,-61.809036 -148.468391,-84.248261 -13.582695,-52.827370 20.093156,-20.191378 23.508219,12.656741 25.632094,56.288901 60.208685,86.305733 130.568965,58.101246 -130.943362,25.434537 -126.878478,-7.419435 -124.706190,-40.169298 -122.145038,-72.500517 -113.725021,-74.269436 41.990088,-41.988048 51.598193,-9.252154 54.242832,23.603780 56.393810
3.523138 -95.077841,36.346385 -92.659431,68.866892 -85.981666,77.710723 68.007082,45.442094 81.057771,12.668541 83.895446,-20.179605 86.019261,-52.815720 89.433157,-84.239141 123.038643,-61.820623 -102.006566,-29.293187 -97.310495,14.478218 -64.372751,47.239404 -61.418370,79.414590 -45.735001,67.094138 106.184587,34.543320 112.232465,1.712787 114.594199,-31.094610 116.864342,-63.596522 121.942465,-82.753962 -94.782521,-51.028140 -69.735147,-18.373522 -66.489547,25.422756 -33.594111,58.089587 -29.530947,86.308592 68.783139,56.300571 139.317249,23.615564 143.133627,-9.240360 145.284726,-41.976346 147.928796,-74.258083 157.528322,-72.511931 -46.754728,-40.181007 -38.327903,-7.431232 -35.766245,36.346385 -2.659431,68.866892 4.018334,77.710723 158.007082,45.442094 171.057771,12.668541 173.895446,-20.179605 176.019261,-52.815720 179.433157,-84.239141 -146.961357,-61.820623 -12.006566,-29.293187 -7.310495,3.523138 -5.077841,47.239404 28.581630,79.414590 44.264999,67.094138 -163.815413,34.543320 -157.767535,1.712787 -155.405801,-31.094610 -153.135658,-63.596522 -148.057535,-82.753962 -4.782521,-51.028140 20.264853,-18.373522 23.510453,14.478218 25.627249,58.089587 60.469053,86.308592 158.783139,56.300571 -130.682751,23.615564 -126.866373,-9.240360 -124.715274,-41.976346 -122.071204,-74.258083 -112.471678,-72.511931 43.245272,-40.181007 51.672097,-7.431232 54.233755,25.422756 56.405889
5.345312 -95.088609,38.160365 -92.605509,70.646327 -85.161553,75.972615 70.070268,43.631975 81.155720,10.846822 83.888913,-21.996792 86.024450,-54.613405 89.630216,-85.506518 137.353586,-60.030654 -101.654250,-27.479138 -97.289210,16.299401 -64.375613,49.047279 -61.289049,81.093278 -41.889236,65.305880 106.754245,32.727702 112.271053,-0.109295 114.582760,-32.906861 116.896691,-65.381135 122.425002,-81.145736 -89.109569,-49.227447 -69.585559,-16.555036 -66.489940,27.241151 -33.577850,59.888412 -29.229705,85.513782 91.676409,54.498215 139.543195,21.796057 143.141994,-11.060897 145.276829,-43.782234 148.014178,-76.004495 159.116911,-70.746160 -45.744833,-38.372849 -38.264269,-5.609974 -35.776265,38.160365 -2.605509,70.646327 4.838447,75.972615 160.070268,43.631975 171.155720,10.846822 173.888913,-21.996792 176.024450,-54.613405 179.630216,-85.506518 -132.646414,-60.030654 -11.654250,-27.479138 -7.289210,5.345312 -5.088609,49.047279 28.710951,81.093278 48.110764,65.305880 -163.245755,32.727702 -157.728947,-0.109295 -155.417240,-32.906861 -153.103309,-65.381135 -147.574998,-81.145736 0.890431,-49.227447 20.414441,-16.555036 23.510060,16.299401 25.624387,59.888412 60.770295,85.513782 -178.323591,54.498215 -130.456805,21.796057 -126.858006,-11.060897 -124.723171,-43.782234 -121.985822,-76.004495 -110.883089,-70.746160 44.255167,-38.372849 51.735731,-5.609974 54.223735,27.241151 56.422150
7.167451 -95.098692,39.973457 -92.542494,72.419545 -84.158552,74.218825 71.657823,41.820821 81.240667,9.024911 83.880948,-23.813261 86.032986,-56.409420 89.856938,-86.303752 160.074668,-58.238473 -101.350931,-25.664247 -97.272629,18.120240 -64.376193,50.853924 -61.140595,82.710617 -36.260565,63.514346 107.235596,30.911328 112.303136,-1.931252 114.571327,-34.718151 116.935569,-67.162375 122.995938,-79.475552 -85.234119,-47.425368 -69.455219,-14.735968 -66.492638,29.058922 -33.556918,61.685148 -28.879777,84.242643 106.086019,52.694325 139.739542,19.976060 143.147029,-12.880998 145.270377,-45.586914 148.112598,-77.735196 161.180337,-68.974058 -44.919144,-36.563613 -38.209783,-3.788431 -35.786988,39.973457 -2.542494,72.419545 5.841448,74.218825 161.657823,41.820821 171.240667,9.024911 173.880948,-23.813261 176.032986,-56.409420 179.856938,-86.303752 -109.925332,-58.238473 -11.350931,-25.664247 -7.272629,7.167451 -5.098692,50.853924 28.859405,82.710617 53.739435,63.514346 -162.764404,30.911328 -157.696864,-1.931252 -155.428673,-34.718151 -153.064431,-67.162375 -147.004062,-79.475552 4.765881,-47.425368 20.544781,-14.735968 23.507362,18.120240 25.623807,61.685148 61.120223,84.242643 -163.913981,52.694325 -130.260458,19.976060 -126.852971,-12.880998 -124.729623,-45.586914 -121.887402,-77.735196 -108.819663,-68.974058 45.080856,-36.563613 51.790217,-3.788431 54.213012,29.058922 56.443082
8.989504 -95.107853,41.785614 -92.469272,74.184622 -82.912067,72.453931 72.909811,40.008682 81.314100,7.202861 83.871808,-25.628970 86.045278,-58.203625 90.118394,-86.312261 -171.825978,-56.444304 -101.088743,-23.848553 -97.260260,19.940687 -64.374169,52.659255 -60.970165,84.215123 -27.527551,61.720042 107.645360,29.094240 112.329389,-3.753030 114.560129,-36.528444 116.981736,-68.939567 123.677544,-77.768630 -82.453520,-45.621972 -69.341723,-12.916363 -66.497340,30.876023 -33.530772,63.479502 -28.471266,82.741164 114.899124,50.889020 139.910430,18.155621 143.149107,-14.700612 145.265639,-47.390335 148.225788,-79.442675 163.944205,-67.196953 -44.235118,-34.753340 -38.163466,-1.966657 -35.798179,41.785614 -2.469272,74.184622 7.087933,72.453931 162.909811,40.008682 171.314100,7.202861 173.871808,-25.628970 176.045278,-58.203625 -179.881606,-86.312261 -81.825978,-56.444304 -11.088743,-23.848553 -7.260260,8.989504 -5.107853,52.659255 29.029835,84.215123 62.472449,61.720042 -162.354640,29.094240 -157.670611,-3.753030 -155.439871,-36.528444 -153.018264,-68.939567 -146.322456,-77.768630 7.546480,-45.621972 20.658277,-12.916363 23.502660,19.940687 25.625831,63.479502 61.528734,82.741164 -155.100876,50.889020 -130.089570,18.155621 -126.850893,-14.700612 -124.734361,-47.390335 -121.774212,-79.442675 -106.055795,-67.196953 45.764882,-34.753340 51.836534,-1.966657 54.201821,30.876023 56.469228
10.811418 -95.115843,43.596789 -92.384561,75.938664 -81.332163,70.680851 73.916894,38.195608 81.377302,5.380722 83.861740,-27.443877 86.061773,-59.995847 90.420845,-85.527542 -148.935681,-54.648323 -100.861397,-22.032098 -97.251655,21.760693 -64.369194,54.463174 -60.774350,85.492556 -13.257796,59.923349 107.996325,27.276482 112.350417,-5.574578 114.549395,-38.337700 117.036054,-70.711778 124.500122,-76.038296 -80.378998,-43.817316 -69.243033,-11.096272 -66.503761,32.692412 -33.498808,65.271095 -27.991451,81.125402 120.572771,49.082399 140.059282,16.334789 143.148575,-16.519691 145.262899,-49.192440 148.355779,-81.113759 167.793066,-65.415784 -43.662265,-32.942069 -38.124454,-0.144703 -35.809609,43.596789 -2.384561,75.938664 8.667837,70.680851 163.916894,38.195608 171.377302,5.380722 173.861740,-27.443877 176.061773,-59.995847 -179.579155,-85.527542 -58.935681,-54.648323 -10.861397,-22.032098 -7.251655,10.811418 -5.115843,54.463174 29.225650,85.492556 76.742204,59.923349 -162.003675,27.276482 -157.649583,-5.574578 -155.450605,-38.337700 -152.963946,-70.711778 -145.499878,-76.038296 9.621002,-43.817316 20.756967,-11.096272 23.496239,21.760693 25.630806,65.271095 62.008549,81.125402 -149.427229,49.082399 -129.940718,16.334789 -126.851425,-16.519691 -124.737101,-49.192440 -121.644221,-81.113759 -102.206934,-65.415784 46.337735,-32.942069 51.875546,-0.144703 54.190391,32.692412 56.501192
12.633141 -95.122407,45.406928 -92.286881,77.677137 -79.280013,68.901523 74.740111,36.381644 81.431391,3.558549 83.850983,-29.257942 86.082961,-61.785861 90.772121,-84.266474 -134.481068,-52.850670 -100.663803,-20.214925 -97.246404,23.580210 -64.360896,56.265561 -60.549024,86.299909 9.464416,58.124562 108.298433,25.458099 112.366764,-7.395842 114.539360,-40.145880 117.099500,-72.477687 125.505930,-74.292139 -78.782714,-42.011452 -69.157413,-9.275742 -66.511632,34.508045 -33.460353,67.059421 -27.423700,79.447615 124.445160,47.274548 140.188951,14.513612 143.145754,-18.338189 145.262458,-50.993161 148.504968,-82.723560 173.421167,-63.631231 -43.178185,-31.129837 -38.091985,1.677378 -35.821050,45.406928 -2.286881,77.677137 10.719987,68.901523 164.740111,36.381644 171.431391,3.558549 173.850983,-29.257942 176.082961,-61.785861 -179.227879,-84.266474 -44.481068,-52.850670 -10.663803,-20.214925 -7.246404,12.633141 -5.122407,56.265561 29.450976,86.299909 99.464416,58.124562 -161.701567,25.458099 -157.633236,-7.395842 -155.460640,-40.145880 -152.900500,-72.477687 -144.494070,-74.292139 11.217286,-42.011452 20.842587,-9.275742 23.488368,23.580210 25.639104,67.059421 62.576300,79.447615 -145.554840,47.274548 -129.811049,14.513612 -126.854246,-18.338189 -124.737542,-50.993161 -121.495032,-82.723560 -96.578833,-63.631231 46.821815,-31.129837 51.908015,1.677378 54.178950,34.508045 56.539647
14.454621 -95.127275,47.215974 -92.174506,79.392565 -76.531198,67.117281 75.421962,34.566837 81.477344,1.736394 83.839771,-31.071126 86.109387,-63.573382 91.182140,-82.774208 -125.627253,-51.051459 -100.491799,-18.397077 -97.244133,25.399194 -64.348868,58.066270 -60.289142,86.314206 37.676956,56.323910 108.559531,23.639133 112.378920,-9.216771 114.530261,-41.952943 117.173193,-74.235377 126.755602,-72.534758 -77.523839,-40.204426 -69.083368,-7.454825 -66.520696,36.322878 -33.414649,68.843805 -26.745867,77.733110 127.221789,45.465538 140.301834,12.692140 143.140945,-20.156058 145.264639,-52.792420 148.676204,-84.220873 -177.858359,-61.843797 -42.766068,-29.316683 -38.065379,3.499531 -35.832273,47.215974 -2.174506,79.392565 13.468802,67.117281 165.421962,34.566837 171.477344,1.736394 173.839771,-31.071126 176.109387,-63.573382 -178.817860,-82.774208 -35.627253,-51.051459 -10.491799,-18.397077 -7.244133,14.454621 -5.127275,58.066270 29.710858,86.314206 127.676956,56.323910 -161.440469,23.639133 -157.621080,-9.216771 -155.469739,-41.952943 -152.826807,-74.235377 -143.244398,-72.534758 12.476161,-40.204426 20.916632,-7.454825 23.479304,25.399194 25.651132,68.843805 63.254133,77.733110 -142.778211,45.465538 -129.698166,12.692140 -126.859055,-20.156058 -124.735361,-52.792420 -121.323796,-84.220873 -87.858359,-61.843797 47.233932,-29.316683 51.934621,3.499531 54.167727,36.322878 56.585351
16.275809 -95.130165,49.023864 -92.045416,81.071849 -72.703043,65.329070 75.992895,32.751229 81.516021,-0.085690 83.828334,-32.883388 86.141657,-65.358035 91.663651,-81.167041 -119.924132,-49.250784 -100.341943,-16.578599 -97.244494,27.217597 -64.332665,59.865121 -59.988475,85.527836 60.683753,54.521576 108.785892,21.819632 112.387332,-11.037314 114.522348,-43.758845 117.258417,-75.981958 128.339092,-70.769080 -76.511205,-38.396281 -69.019608,-5.633571 -66.530705,38.136870 -33.360839,70.623310 -25.927816,75.995245 129.292380,43.655433 140.399962,10.870425 143.134432,-21.973254 145.269787,-54.590125 148.872908,-85.492407 -163.635817,-60.053858 -42.413057,-27.502646 -38.044030,5.321705 -35.843048,49.023864 -2.045416,81.071849 17.296957,65.329070 165.992895,32.751229 171.516021,-0.085690 173.828334,-32.883388 176.141657,-65.358035 -178.336349,-81.167041 -29.924132,-49.250784 -10.341943,-16.578599 -7.244494,16.275809 -5.130165,59.865121 30.011525,85.527836 150.683753,54.521576 -161.214108,21.819632 -157.612668,-11.037314 -155.477652,-43.758845 -152.741583,-75.981958 -141.660908,-70.769080 13.488795,-38.396281 20.980392,-5.633571 23.469295,27.217597 25.667335,70.623310 64.072184,75.995245 -140.707620,43.655433 -129.600038,10.870425 -126.865568,-21.973254 -124.730213,-54.590125 -121.127092,-85.492407 -73.635817,-60.053858 47.586943,-27.502646 51.955970,5.321705 54.156952,38.136870 56.639161
18.096653 -95.130777,50.830526 -91.897227,82.690229 -67.104087,63.537575 76.475274,30.934865 81.548184,-1.907649 83.816900,-34.694691 86.180445,-67.139323 92.233314,-79.497463 -116.030813,-47.448724 -100.211370,-14.759538 -97.247165,29.035376 -64.311796,61.661885 -59.639236,84.260944 75.187320,52.717704 108.982594,19.999642 112.392408,-12.857421 114.515875,-45.563541 117.356657,-77.712902 130.395165,-68.997050 -75.683434,-36.587059 -68.965010,-3.812032 -66.541420,39.949973 -33.297948,72.396619 -24.927522,74.241625 130.885064,41.844291 140.485068,9.048516 143.126484,-23.789733 145.278277,-56.386163 149.099216,-86.297907 -141.028036,-58.261705 -42.109157,-25.687765 -38.027391,7.143845 -35.853142,50.830526 -1.897227,82.690229 22.895913,63.537575 166.475274,30.934865 171.548184,-1.907649 173.816900,-34.694691 176.180445,-67.139323 -177.766686,-79.497463 -26.030813,-47.448724 -10.211370,-14.759538 -7.247165,18.096653 -5.130777,61.661885 30.360764,84.260944 165.187320,52.717704 -161.017406,19.999642 -157.607592,-12.857421 -155.484125,-45.563541 -152.643343,-77.712902 -139.604835,-68.997050 14.316566,-36.587059 21.034990,-3.812032 23.458580,29.035376 25.688204,72.396619 65.072478,74.241625 -139.114936,41.844291 -129.514932,9.048516 -126.873516,-23.789733 -124.721723,-56.386163 -120.900784,-86.297907 -51.028036,-58.261705 47.890843,-25.687765 51.972609,7.143845 54.146858,39.949973 56.702052
